Musteri fiyati KDV dahil;Yillik ucretli satis;KDV haric satis;Isletme payi yuzde 30;Degisken butce;Sabit butce;Vergi oncesi butce sonucu;Basabas adedi
3750,00;20,00;62500,00;18750,00;15200,00;224000,00;-195450,00;157,00
3750,00;50,00;156250,00;46875,00;38000,00;224000,00;-152625,00;157,00
3750,00;100,00;312500,00;93750,00;76000,00;224000,00;-81250,00;157,00
3750,00;150,00;468750,00;140625,00;114000,00;224000,00;-9875,00;157,00
3750,00;200,00;625000,00;187500,00;152000,00;224000,00;61500,00;157,00
3750,00;250,00;781250,00;234375,00;190000,00;224000,00;132875,00;157,00
3750,00;300,00;937500,00;281250,00;228000,00;224000,00;204250,00;157,00
3750,00;500,00;1562500,00;468750,00;380000,00;224000,00;489750,00;157,00
5000,00;20,00;83333,33;25000,00;15200,00;224000,00;-180866,67;104,00
5000,00;50,00;208333,33;62500,00;38000,00;224000,00;-116166,67;104,00
5000,00;100,00;416666,67;125000,00;76000,00;224000,00;-8333,33;104,00
5000,00;150,00;625000,00;187500,00;114000,00;224000,00;99500,00;104,00
5000,00;200,00;833333,33;250000,00;152000,00;224000,00;207333,33;104,00
5000,00;250,00;1041666,67;312500,00;190000,00;224000,00;315166,67;104,00
5000,00;300,00;1250000,00;375000,00;228000,00;224000,00;423000,00;104,00
5000,00;500,00;2083333,33;625000,00;380000,00;224000,00;854333,33;104,00
6250,00;20,00;104166,67;31250,00;15200,00;224000,00;-166283,33;78,00
6250,00;50,00;260416,67;78125,00;38000,00;224000,00;-79708,33;78,00
6250,00;100,00;520833,33;156250,00;76000,00;224000,00;64583,33;78,00
6250,00;150,00;781250,00;234375,00;114000,00;224000,00;208875,00;78,00
6250,00;200,00;1041666,67;312500,00;152000,00;224000,00;353166,67;78,00
6250,00;250,00;1302083,33;390625,00;190000,00;224000,00;497458,33;78,00
6250,00;300,00;1562500,00;468750,00;228000,00;224000,00;641750,00;78,00
6250,00;500,00;2604166,67;781250,00;380000,00;224000,00;1218916,67;78,00
